64004406	grpo	/scratch4/workspace/ychittepu_umass_edu-tribe/offpolicy-suite-final/final-1b/grpo/math	meta-llama/Llama-3.2-1B-Instruct
64004407	topr	/scratch4/workspace/ychittepu_umass_edu-tribe/offpolicy-suite-final/final-1b/topr/math	meta-llama/Llama-3.2-1B-Instruct
64004408	tis	/scratch4/workspace/ychittepu_umass_edu-tribe/offpolicy-suite-final/final-1b/tis/math	meta-llama/Llama-3.2-1B-Instruct
64004409	raft	/scratch4/workspace/ychittepu_umass_edu-tribe/offpolicy-suite-final/final-1b/raft/math	meta-llama/Llama-3.2-1B-Instruct
64004410	rloo	/scratch4/workspace/ychittepu_umass_edu-tribe/offpolicy-suite-final/final-1b/rloo/math	meta-llama/Llama-3.2-1B-Instruct
64004411	naive-reinforce	/scratch4/workspace/ychittepu_umass_edu-tribe/offpolicy-suite-final/final-1b/naive-reinforce/math	meta-llama/Llama-3.2-1B-Instruct
64004412	tribe-negfrac0.0	/scratch4/workspace/ychittepu_umass_edu-tribe/offpolicy-suite-final/final-1b/tribe-negfrac0.0/math	meta-llama/Llama-3.2-1B-Instruct
64004413	tribe-negfrac0.2	/scratch4/workspace/ychittepu_umass_edu-tribe/offpolicy-suite-final/final-1b/tribe-negfrac0.2/math	meta-llama/Llama-3.2-1B-Instruct
64004414	tribe-negfrac0.4	/scratch4/workspace/ychittepu_umass_edu-tribe/offpolicy-suite-final/final-1b/tribe-negfrac0.4/math	meta-llama/Llama-3.2-1B-Instruct
64004415	tribe-negfrac0.6	/scratch4/workspace/ychittepu_umass_edu-tribe/offpolicy-suite-final/final-1b/tribe-negfrac0.6/math	meta-llama/Llama-3.2-1B-Instruct
64004416	tribe-negfrac0.8	/scratch4/workspace/ychittepu_umass_edu-tribe/offpolicy-suite-final/final-1b/tribe-negfrac0.8/math	meta-llama/Llama-3.2-1B-Instruct
64004417	tribe-negfrac1.0	/scratch4/workspace/ychittepu_umass_edu-tribe/offpolicy-suite-final/final-1b/tribe-negfrac1.0/math	meta-llama/Llama-3.2-1B-Instruct
64004418	dpo	/scratch4/workspace/ychittepu_umass_edu-tribe/offpolicy-suite-final/final-1b/dpo/math	meta-llama/Llama-3.2-1B-Instruct
64004419	simpo	/scratch4/workspace/ychittepu_umass_edu-tribe/offpolicy-suite-final/final-1b/simpo/math	meta-llama/Llama-3.2-1B-Instruct
